year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
-214000,-1.58,242.95,-0.721,0.05,0.426,0.205,501.817,342.376,1.615,1.211,0.376
-212000,-0.908,247.3,-0.626,0.05,0.427,0.755,479.259,342.374,1.553,1.14,0.359
-210000,-2.112,248.95,-0.59,0.049,0.426,1.305,463.907,342.369,1.33,1.098,0.358
-208000,-3.059,243.68,-0.705,0.049,0.423,1.857,462.718,342.364,1.622,1.169,0.372
-206000,-2.296,233.22,-0.94,0.049,0.419,2.41,471.671,342.357,1.914,1.245,0.404
-204000,-2.813,232.68,-0.952,0.048,0.414,2.967,490.315,342.349,2.206,1.236,0.427
-202000,-2.953,247.6,-0.62,0.048,0.409,3.527,510.373,342.341,2.498,1.197,0.441
-200000,-2.965,245.0,-0.676,0.047,0.404,4.091,523.75,342.331,2.79,1.057,0.446
-198000,-1.996,240.867,-0.767,0.047,0.399,4.658,527.315,342.322,2.618,1.005,0.441
-196000,-1.885,236.733,-0.86,0.046,0.396,5.227,515.284,342.311,2.446,0.985,0.429
